,Comment ID,Trust,Respondent ID,Date,Service type 1,Service type 2,FFT categorical answer,FFT question,FFT answer
3583,NEAS PTS 1338 - Q2,NEAS,NEAS PTS 1338,31/05/2022,PTS  - Patient Transport,,1,How could we improve?,"Pleasant, chatty drivers, very helpful."
7714,NEAS 111 2237 - Q2,NEAS,NEAS 111 2237,19/06/2022,111,,5,How could we improve?,"My mother is 89 years old & I knew her heath had suddenly deteriorated over the course of 24 hours & she was seriously ill. I spoke to the initial call-taker who declined to listen to me, insisting on speaking to my mother, who was in no fit state to answ"
1072,NHFT 334 - Q2,NHFT,NHFT 334,04/08/2021,Forensic,Offender health,2,What was good?,I might be getting the right help but at the minute I'm just the way I am. 
11,NEAS PTS 561 - Q1,NEAS,NEAS PTS 561,30/09/2021,PTS  - Patient Transport,,1,FFT Why?,Not your problem but something must be done to relieve the handover times at hospital.
3050,NEAS 111 1806 - Q2,NEAS,NEAS 111 1806,31/03/2022,111,,1,How could we improve?,Problem solved.
6447,NEAS S&C 4478 - Q1,NEAS,NEAS S&C 4478,10/05/2022,See and Convey,,1,FFT Why?,My call was answered quickly and an ambulance was with me within 15 minutes. The attending paramedics were nothing but kind and extremely professional. As was my treatment in A&E.  It isn’t the first time I have needed emergency care and it is always 100%. 
273,NEAS PTS 1353 - Q1,NEAS,NEAS PTS 1353,31/05/2022,PTS  - Patient Transport,,1,FFT Why?,"No. It was great, thank you. Old people, we don’t always to get nice to us."
979,NEAS S&C 6466 - Q1,NEAS,NEAS S&C 6466,30/09/2022,See and Convey,,1,FFT Why?,"Speedy response, very knowledgeable staff showed great empathy, kept informed."
6564,NEAS S&C 5481 - Q1,NEAS,NEAS S&C 5481,19/07/2022,See and Convey,,1,FFT Why?,Rang 999 came 10 mins later lovely paramedics
3139,NEAS 111 2132 - Q3,NEAS,NEAS 111 2132,31/05/2022,111,,1,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",Call back.
3974,NEAS S&C 3704 - Q1,NEAS,NEAS S&C 3704,03/09/2022,See and Convey,,1,FFT Why?,"When they realised my situation they quickly increased the urgency of their response, called the fire service to gain access to the house and dealt carefully and and quickly to get me to hospital without delay. "
7040,NHFT 1829 - Q2,NHFT,NHFT 1829,01/02/2022,Local partnerships- MH,Mental health services for older people,7,What was good?,I have had excellent care. They have helped me so very much
4870,NHFT 362 - Q2,NHFT,NHFT 362,18/08/2021,Community health services,Children and young people,1,What was good?,"You taught me about the ways that I'm thinking, how to deal with my thoughts and problems. You made me feel more confident. You made me know why I was feeling my feelings. Thank you."
7496,NEAS PTS 1387 - Q2,NEAS,NEAS PTS 1387,31/05/2022,PTS  - Patient Transport,,2,How could we improve?,Because it's right.
3592,NEAS PTS 1365 - Q2,NEAS,NEAS PTS 1365,31/05/2022,PTS  - Patient Transport,,1,How could we improve?,"Excellent service i.e., staff etc."
2699,NHFT 1986 - Q2,NHFT,NHFT 1986,01/02/2022,Local partnerships- MH,Mental health services for older people,7,What was good?,Care - what care?  Absolutely nothing.  Would drive you to suicide or madness.
4197,NEAS S&C 5608 - Q1,NEAS,NEAS S&C 5608,7/27/2022,See and Convey,,1,FFT Why?,Came quickly and very caring and professional 
3956,NEAS S&C 3551 - Q1,NEAS,NEAS S&C 3551,2/28/2022,See and Convey,,1,FFT Why?,Staff were caring and careful. Couldn't be more attentive.
5685,NHFT 1653 - Q2,NHFT,NHFT 1653,10/05/2022,Local partnerships- MH,Adult mental health,1,What was good?,Being able to share experiences with other carers and being part of a group that could help us with coping strategies and support.  Discussions are helpful.
1705,NHFT 1121 - Q1,NHFT,NHFT 1121,24/12/2021,Forensic,Arnold lodge,2,What could we do better?,Get more staff. 
7049,NHFT 1869 - Q1,NHFT,NHFT 1869,01/02/2022,Local partnerships- MH,Mental health services for older people,7,What could we do better?,Time scale - due to staff shortages and an overwhelming case load not much you can do about it.
1368,NHFT 1413 - Q2,NHFT,NHFT 1413,29/03/2022,Forensic,High secure LD,3,What was good?,"Treatment by the staff towards myself, taking care of me and keeping me busy. "
4717,NEAS PTS 1789 - Q1,NEAS,NEAS PTS 1789,31/08/2022,PTS  - Patient Transport,,1,FFT Why?,You could have done nothing better thank you.
4184,NEAS S&C 5497 - Q2,NEAS,NEAS S&C 5497,7/19/2022,See and Convey,,1,How could we improve?,I don’t feel there was anything else they could have done to improve 
6106,NEAS 111 2514 - Q2,NEAS,NEAS 111 2514,09/08/2022,111,,1,How could we improve?,Everyone I spoke to was super helpful and rang back when they weren't able to get an appointment at my doctor's either and let me know what to do next. Bad situation with the doctors but 111 were extremely helpful and professional.
5297,NHFT 256 - Q2,NHFT,NHFT 256,14/07/2021,Community health services,Children and young people,1,What was good?,"Explanations were brilliant and all information.
Very helpful."
7174,NHFT 1555 - Q2,NHFT,NHFT 1555,11/04/2022,Community health services,South Notts,1,What was good?,"All of it, you do well."
1678,NHFT 1035 - Q2,NHFT,NHFT 1035,18/11/2021,,,1,What was good?,The whole experience helpful and very professionally done. Everything was explained in a manner that made it easily understood and in a very pleasant manner.
603,NEAS S&C 3270 - Q1,NEAS,NEAS S&C 3270,29/01/2022,See and Convey,,1,FFT Why?,The 2 girls in the ambulance went above & beyond what was expected. Probably saved my life.
4008,NEAS S&C 4001 - Q2,NEAS,NEAS S&C 4001,04/08/2022,See and Convey,,1,How could we improve?,Nothing 
2151,NEAS 111 1927 - Q1,NEAS,NEAS 111 1927,30/04/2022,111,,2,FFT Why?,Arranged an appointment out of hours saved a 6 hours wait.
2375,NEAS 111 2755 - Q3,NEAS,NEAS 111 2755,30/09/2022,111,,5,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",Too much 'advice' and waiting.
4659,NEAS PTS 1615 - Q1,NEAS,NEAS PTS 1615,30/06/2022,PTS  - Patient Transport,,1,FFT Why?,Nothing.
5702,NEAS 111 1022 - Q1,NEAS,NEAS 111 1022,03/10/2021,111,,2,FFT Why?,Please try to reduce waiting time
5969,NEAS 111 2001 - Q1,NEAS,NEAS 111 2001,03/05/2022,111,,5,FFT Why?,"Had staff that were trained in the organisation of dispensing the anti viral meds as no one knew what i was on about and I kept getting different meds. I was even told by one call taker that “the anti viral team don’t work weekends”. Firstly, there is no such team as the “anti viral team” and secondly, the meds could be dispensed over a weekend. Poor service which could make the difference between life/death/hospitalisation. What is point of having these meds available for patients like me, if the service doesn’t recognise the importance of the dispensing of them being time critical, and training call taker staff to have actual knowledge of the scheme! I was left in tears several times out of sheer frustration at a time when I was really poorly, had very little energy & had difficulty talking/out of breath."
2482,NHFT 474 - Q1,NHFT,NHFT 474,02/09/2021,Forensic,Offender health,1,What could we do better?,Nothing! Outstanding work. 
1899,NHFT 1674 - Q2,NHFT,NHFT 1674,26/05/2022,Community health services,South Notts,3,What was good?,"Everything was good, It was very good."
3637,NEAS PTS 1500 - Q2,NEAS,NEAS PTS 1500,31/05/2022,PTS  - Patient Transport,,1,How could we improve?,Total satisfaction.
2659,NHFT 1710 - Q1,NHFT,NHFT 1710,31/01/2022,Local partnerships- MH,Adult mental health,5,What could we do better?,"Referred by GP. Suffered breakdown 14 months before having terrible suicidal thoughts for months, not controlled or treated well by GP. Saw the nurse at Heather close. Explained how I felt. Advised me to go on a walk, and when I said ""what do I do if I feel I can't keep myself safe"" said ""just keep busy"". I saw a specialist prescriber there at the same time. Asked him to review and change my medication, as clearly making me unwell. Expected a service. Was referred back to my GP. A week later I was no better and felt so unwell with dark thoughts, I rang the crisis team at Millbrook outpatients, who saw me the next day, stopped my medication. Started me on a suitable medicine. Within three months I'm back at work, working as a nurse. What was the point of having a prescriber at Heather close if he was not willing to help me, like the crisis team ended up having to do.  Local mentality team is a waste of time and money, and needs looking at why that happened. I have a young family and wonder how many others get turned away. Very scary."
1598,NHFT 637 - Q2,NHFT,NHFT 637,22/09/2021,Community health services,Children and young people,1,What was good?,"everything!
Listening visits have been very very useful. I've never had such good care."
7907,NHFT 1131 - Q1,NHFT,NHFT 1131,30/12/2021,Forensic,Arnold lodge,2,What could we do better?,Personally I do thing I need the complaints system explaining to me in more depth.  I do feel that I'm not heard in terns of making complaints!!
7418,NEAS PTS 1153 - Q2,NEAS,NEAS PTS 1153,28/02/2022,PTS  - Patient Transport,,1,How could we improve?,Well looked after.
7449,NEAS PTS 1246 - Q2,NEAS,NEAS PTS 1246,31/03/2022,PTS  - Patient Transport,,2,How could we improve?,Doubt about chair.
4114,NEAS S&C 4902 - Q2,NEAS,NEAS S&C 4902,06/07/2022,See and Convey,,2,How could we improve?,Ok
702,NEAS S&C 4111 - Q2,NEAS,NEAS S&C 4111,12/04/2022,See and Convey,,1,How could we improve?,No I think it went quite well I know that the nhs is under quite a lot of pressure 
1532,NHFT 327 - Q2,NHFT,NHFT 327,04/08/2021,Forensic,Offender health,2,What was good?,Friendly staff at medical hatch. 
6540,NEAS S&C 5277 - Q1,NEAS,NEAS S&C 5277,06/07/2022,See and Convey,,4,FFT Why?,Waiting time 
2380,NEAS 111 2774 - Q1,NEAS,NEAS 111 2774,30/09/2022,111,,1,FFT Why?,Nothing.
5353,NHFT 524 - Q2,NHFT,NHFT 524,08/09/2021,Forensic,High secure MH,1,What was good?,OT's and TES are good. 
848,NEAS S&C 5352 - Q2,NEAS,NEAS S&C 5352,10/07/2022,See and Convey,,1,How could we improve?,Nothing. Service was first class
1154,NHFT 699 - Q1,NHFT,NHFT 699,30/09/2021,Forensic,High secure women's service,3,What could we do better?,Pudding.
7370,NEAS PTS 1003 - Q2,NEAS,NEAS PTS 1003,04/02/2022,PTS  - Patient Transport,,1,How could we improve?,As they where helpfull and helped me through anything I needed to know
4579,NEAS PTS 1375 - Q1,NEAS,NEAS PTS 1375,31/05/2022,PTS  - Patient Transport,,2,FFT Why?,I have no complaints as the staff and journey were first class.
1784,NHFT 1732 - Q1,NHFT,NHFT 1732,21/02/2022,Local partnerships- MH,CAMHS,7,What could we do better?,Everything.
3021,NEAS 111 1700 - Q1,NEAS,NEAS 111 1700,09/03/2022,111,,1,FFT Why?,
3501,NEAS PTS 1089 - Q2,NEAS,NEAS PTS 1089,28/02/2022,PTS  - Patient Transport,,1,How could we improve?,Because I was very well looked after.
1047,NHFT 253 - Q2,NHFT,NHFT 253,14/07/2021,Community health services,Children and young people,1,What was good?,Everything was discussed.  I was understood.  Everything was great.
520,NEAS S&C 2556 - Q1,NEAS,NEAS S&C 2556,01/11/2021,See and Convey,,1,FFT Why?,Quick to respond and kept me calm
1545,NHFT 449 - Q2,NHFT,NHFT 449,19/08/2021,Local partnerships- MH,Mental health services for older people,1,What was good?,I've enjoyed my short stay here. All staff and meals have been nice be nice to go home. the bedroom is clean and tidy.
3255,NEAS 111 2558 - Q1,NEAS,NEAS 111 2558,30/08/2022,111,,1,FFT Why?,N/a
6243,NEAS S&C 2744 - Q1,NEAS,NEAS S&C 2744,09/12/2021,See and Convey,,4,FFT Why?,Time taken five hours first time patient made their own way to hospital on the second incident.
7332,NEAS PTS 886 - Q2,NEAS,NEAS PTS 886,31/01/2022,PTS  - Patient Transport,,1,How could we improve?,No faults to find.
5936,NEAS 111 1880 - Q1,NEAS,NEAS 111 1880,19/04/2022,111,,2,FFT Why?,Nothing only what I said previously
3811,NEAS S&C 2318 - Q2,NEAS,NEAS S&C 2318,10/08/2021,See and Convey,,1,How could we improve?,If they would have been able to come quicker but I do realise that there was probably people in a worse state as I was. But they did call in between on phoning for the ambulance and there arrival.
5794,NEAS 111 1359 - Q2,NEAS,NEAS 111 1359,10/12/2021,111,,1,How could we improve?,Call handler was personable and informative 
2768,NHFT 1439 - Q2,NHFT,NHFT 1439,30/03/2022,Forensic,High secure LD,3,What was good?,"Staff on the ward are good at thy job and day are good with patients.
Staff can help patient when you get unsettled on the ward."
4120,NEAS S&C 4953 - Q2,NEAS,NEAS S&C 4953,06/07/2022,See and Convey,,1,How could we improve?,At the time we needed the service there was nothing different we could suggest we were very grateful they arrived when they did and were helpful and professional 
2155,NEAS 111 1941 - Q3,NEAS,NEAS 111 1941,30/04/2022,111,,5,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",The length of time waiting for a call back with a time to see a doctor.
2721,NHFT 1295 - Q1,NHFT,NHFT 1295,28/02/2022,Local partnerships- MH,Adult mental health,1,What could we do better?,More appointments.  
3642,NEAS PTS 1515 - Q2,NEAS,NEAS PTS 1515,31/05/2022,PTS  - Patient Transport,,1,How could we improve?,It was excellent.
5812,NEAS 111 1425 - Q2,NEAS,NEAS 111 1425,31/12/2021,111,,1,How could we improve?,The person on the phone was kind and polite and willing to help. They gave me good information and influenced the help I needed
5205,NHFT 1609 - Q2,NHFT,NHFT 1609,18/04/2022,Forensic,Wathwood,7,What was good?,n/a Nothing. 
4900,NHFT 551 - Q2,NHFT,NHFT 551,13/09/2021,Forensic,Low secure and CFS,4,What was good?,"Foods be good.
Room, accommodation. "
2065,NEAS 111 1604 - Q2,NEAS,NEAS 111 1604,18/02/2022,111,,1,How could we improve?,Very professional and caring from the start
1384,NHFT 1492 - Q1,NHFT,NHFT 1492,02/04/2022,Community health services,South Notts,1,What could we do better?,No need for improvement
6996,NHFT 1055 - Q2,NHFT,NHFT 1055,15/12/2021,Community health services,Specialist Services and CYP,1,What was good?,very useful advice and very good conversation. Supportive and helpful.
1200,NHFT 953 - Q1,NHFT,NHFT 953,29/10/2021,Local partnerships- MH,Mental health services for older people,5,What could we do better?,"Improve your communication, and keep patients informed of changes to their treatment plans. Keep to appointment times, as if they are late they feel very rushed. Listen to what patients want and respect their decisions. The whole experience was so stressful. Glad I'm finally discharged."
1285,NHFT 1896 - Q1,NHFT,NHFT 1896,01/02/2022,Local partnerships- MH,Mental health services for older people,7,What could we do better?,"Think of all ages not just the older generation.  That is also in posters and helpful leaflets for patients and staff in all areas. Everything changes, you start with groups and good teams then you stop them or change them which is not good for someone with dementia."
2720,NHFT 1287 - Q2,NHFT,NHFT 1287,25/02/2022,Community health services,Specialist Services and CYP,1,What was good?,"Detailed advice and high level of care and attention to us paid, very good!!
Very understanding. very on point!"
5785,NEAS 111 1326 - Q2,NEAS,NEAS 111 1326,10/12/2021,111,,5,How could we improve?,Waited over one hour for call to be answered
5598,NHFT 1342 - Q2,NHFT,NHFT 1342,14/03/2022,Forensic,High secure MH,1,What was good?,Staff at listening to me. 
5217,NHFT 1646 - Q1,NHFT,NHFT 1646,10/05/2022,Local partnerships- MH,Adult mental health,1,What could we do better?,Bed more comfortable and not being kicked out my room. 
858,NEAS S&C 5437 - Q2,NEAS,NEAS S&C 5437,15/07/2022,See and Convey,,1,How could we improve?,Everything was perfect
7077,NHFT 1989 - Q2,NHFT,NHFT 1989,01/02/2022,Local partnerships- MH,Adult mental health,7,What was good?,I have been fortunate to have received excellent care. Thank you. If local place of refuge i.e. Acute Ward is an aid to recovery.
4496,NEAS PTS 1126 - Q1,NEAS,NEAS PTS 1126,28/02/2022,PTS  - Patient Transport,,2,FFT Why?,The only thing is getting through on the telephone.
6002,NEAS 111 2129 - Q2,NEAS,NEAS 111 2129,31/05/2022,111,,1,How could we improve?,It was handled quickly and efficiently.
6335,NEAS S&C 3526 - Q1,NEAS,NEAS S&C 3526,24/02/2022,See and Convey,,1,FFT Why?,"Arrived very quickly,  really appreciated the crew's friendly helpful professionalism and their skills dealing with an anxious patient. Transferred to hospital promptly and left the patient feeling as happy and comfortable as possible given the circumstances.  Excellent care. "
5460,NHFT 1022 - Q2,NHFT,NHFT 1022,10/11/2021,Local partnerships- MH,Adult mental health,5,What was good?,Nothing.
6151,NEAS 111 2679 - Q2,NEAS,NEAS 111 2679,21/09/2022,111,,1,How could we improve?,"Very thorough with questions, and quick to get me into urgent care. "
202,NEAS PTS 1140 - Q1,NEAS,NEAS PTS 1140,28/02/2022,PTS  - Patient Transport,,1,FFT Why?,I didn't need an ambulance recently but was reffered to James Cook hospital.
6268,NEAS S&C 2956 - Q2,NEAS,NEAS S&C 2956,10/12/2021,See and Convey,,2,How could we improve?,I was in hold for a long time before I then rang on another phone where I could say it was my second call I was on hold far too long 
679,NEAS S&C 3916 - Q1,NEAS,NEAS S&C 3916,31/03/2022,See and Convey,,1,FFT Why?,Very respondent and professional. Very knowledgeable in critical care and consideration of relatives. Very good. Excellent.
3942,NEAS S&C 3432 - Q1,NEAS,NEAS S&C 3432,2/18/2022,See and Convey,,1,FFT Why?,The arrived 10 minutes after I called 
7808,NEAS S&C 305 - Q2,NEAS,NEAS S&C 305,03/05/2021,See and Convey,,5,How could we improve?,The service needs more staff and ambulances as the system is clearly broken and failing
5036,NHFT 1116 - Q1,NHFT,NHFT 1116,24/12/2021,Forensic,Arnold lodge,4,What could we do better?,"Too many inexperienced staff, who are sometime unsure of what they're supposed to be doing.
The ward rules can be overly bureaucratic.
Care plans (nursing) are overly complicated/convoluted.
Cross-sectoral/inter-agency working eg. with Arnold Lodge & the Assertive Transition service (ATS) is not seamless & communication is not smooth between organisation ot the detriment of patient care.
I don't feel I've benefitted/learnt much from treatment here.  Seems unfair criticism as MDT are very kind but I don not feel as if I've benefitted from y time in hospital. "
1075,NHFT 350 - Q1,NHFT,NHFT 350,05/08/2021,Forensic,Offender health,2,What could we do better?,Doing more group workshops would be great. 
626,NEAS S&C 3465 - Q2,NEAS,NEAS S&C 3465,18/02/2022,See and Convey,,1,How could we improve?,Nothing
6670,NEAS S&C 6390 - Q2,NEAS,NEAS S&C 6390,24/09/2022,See and Convey,,1,How could we improve?,Nothing.
1335,NHFT 1309 - Q1,NHFT,NHFT 1309,02/03/2022,Forensic,Offender health,1,What could we do better?,I think the main issue is waiting times for appointments.  Some people have to wait a long time to see a GP or dentist when they are in a lot of pain.
152,NEAS PTS 990 - Q1,NEAS,NEAS PTS 990,31/01/2022,PTS  - Patient Transport,,1,FFT Why?,Nothing to add as I was very pleased with your service 
3750,NEAS PTS 1839 - Q2,NEAS,NEAS PTS 1839,31/08/2022,PTS  - Patient Transport,,1,How could we improve?,"Clean vehicle. Driver polite, kind."
1823,NHFT 1768 - Q1,NHFT,NHFT 1768,23/03/2022,Community health services,North Notts,1,What could we do better?,Cleaning/making of bed could have been done earlier.
1745,NHFT 1889 - Q2,NHFT,NHFT 1889,01/02/2022,Local partnerships- MH,Mental health services for older people,7,What was good?,"I am getting better with it.
I am happy with the quality.
All of the treatment."
5776,NEAS 111 1293 - Q2,NEAS,NEAS 111 1293,01/12/2021,111,,4,How could we improve?,We waited over an hour for someone to answer the call 
6425,NEAS S&C 4291 - Q1,NEAS,NEAS S&C 4291,26/04/2022,See and Convey,,1,FFT Why?,"Three paramedics attended, one a trainee and they were all truest amazing. Calm. Professional and supportive"
5238,NHFT 10 - Q1,NHFT,NHFT 10,18/06/2021,Community health services,Children and young people,7,What could we do better?,Nothing
4055,NEAS S&C 4401 - Q1,NEAS,NEAS S&C 4401,05/03/2022,See and Convey,,1,FFT Why?,"They had a professional, friendly support attitude and genuinely cared about my well-being.I’m forever grateful.Thank you "
1687,NHFT 1215 - Q1,NHFT,NHFT 1215,14/12/2021,Local partnerships- MH,Mental health services for older people,1,What could we do better?,Very little.
6046,NEAS 111 2290 - Q3,NEAS,NEAS 111 2290,30/06/2022,111,,2,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",None.
4948,NHFT 719 - Q2,NHFT,NHFT 719,30/09/2021,Forensic,High secure women's service,2,What was good?,The activities that's on offer. Staff encourage patients to get involved in activities & events.  Majority of staff show understanding & empathy to all our needs. 
3737,NEAS PTS 1800 - Q2,NEAS,NEAS PTS 1800,31/08/2022,PTS  - Patient Transport,,2,How could we improve?,"Arrived on time, pleasant driver."
1022,NHFT 156 - Q2,NHFT,NHFT 156,07/07/2021,Community health services,Rushcliffe,3,What was good?,Not much - quality of care when I get it is OK.
568,NEAS S&C 2964 - Q1,NEAS,NEAS S&C 2964,10/12/2021,See and Convey,,1,FFT Why?,They kept us calm and were great giving us the information.
6194,NEAS S&C 2319 - Q1,NEAS,NEAS S&C 2319,08/10/2021,See and Convey,,2,FFT Why?,Everything was very good apart from arrival time but we understand why
